branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Walker,11071 S. Hoyne Ave.,Chicago,60643.0,800,705,850,803,815,953,1098,914,880,1060,891,772,10541
Albany Park,3401 W. Foster Ave.,Chicago,60625.0,4274,3486,5170,4864,4561,5711,5983,5675,5603,5699,5370,5238,61634
Avalon,8148 S. Stony Island Ave.,Chicago,60617.0,1342,1099,1241,1264,1368,1378,1242,1432,1589,1476,1355,1217,16003
Brainerd,1350 W. 89th St.,Chicago,60620.0,311,349,501,60,85,278,197,280,277,337,314,332,3321
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656.0,4375,3797,4725,4339,4386,5128,5511,4719,4630,5156,4850,4575,54673
Little Italy,1336 W. Taylor St.,Chicago,60607.0,3978,3273,4237,3465,3835,4460,4906,4461,3842,3865,3896,3575,47793
Edgebrook,5331 W. Devon Ave.,Chicago,60646.0,6378,5498,6690,6451,5971,6744,7849,7082,6354,6003,6511,5137,76668
Kelly,6151 S. Normal Blvd.,Chicago,60621.0,323,268,303,270,274,332,355,533,399,439,470,368,4334
Edgewater,6000 N. Broadway St.,Chicago,60660.0,11193,10185,11125,10500,10898,11595,11650,10854,10376,10137,9685,9539,127737
Near North,310 W. Division St.,Chicago,60610.0,7399,6872,7910,7329,8085,8318,8412,7284,6777,6853,6639,5610,82376
Canaryville,642 W. 43rd St.,Chicago,60609.0,0,0,0,0,0,0,131,869,1042,969,941,935,4887
"Daley, Richard J. - Bridgeport",3400 S. Halsted St.,Chicago,60608.0,4034,3152,3647,3708,3555,3532,3910,864,0,0,0,0,26402
Manning,6 S. Hoyne Ave.,Chicago,60612.0,0,0,0,0,0,0,0,7,171,547,620,530,1875
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641.0,3040,2903,3681,3430,3641,3450,3855,3481,3766,3612,3238,3057,38450
"Whitney M. Young, Jr.",415 E. 79th St.,Chicago,60619.0,601,441,585,611,783,813,668,843,936,744,572,545,8142
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619.0,336,376,428,398,460,462,307,0,377,627,596,498,4865
Scottsdale,4101 W. 79th St.,Chicago,60652.0,984,896,1185,1091,975,1028,1348,1222,1274,1474,1419,1285,13093
Altgeld,955 E. 131st St.,Chicago,60827.0,127,81,156,173,146,153,206,248,171,146,173,154,1934
West Lawn,4020 W. 63rd St.,Chicago,60629.0,1174,1010,1538,1243,1428,629,13,0,0,0,0,0,7035
Back of the Yards,2111 W. 47th St.,Chicago,60609.0,856,647,1070,1006,943,1090,1241,1179,1073,1363,1032,916,12416
Rogers Park,6907 N. Clark St.,Chicago,60626.0,4582,6311,6404,6489,5983,6257,7070,6453,6383,6528,6449,6002,70194
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638.0,2437,2449,3093,2500,2628,3348,3691,2723,2893,3099,2593,2273,33727
King,3436 S. King Dr.,Chicago,60616.0,845,804,930,900,976,1201,1344,1029,1217,1110,1189,1159,12704
Water Works,163 E. Pearson St.,Chicago,60611.0,0,0,0,0,0,0,123,1561,1825,2166,2239,2286,10200
"Daley, Richard M. - W Humboldt",733 N. Kedzie Ave.,Chicago,60612.0,1541,1477,1455,1499,1246,1309,1321,1335,1221,1432,1458,989,16283
Humboldt Park,1605 N. Troy St.,Chicago,60647.0,3107,2961,3211,2867,3014,3000,3394,2893,3263,3164,2962,2813,36649
Sulzer Regional,4455 N. Lincoln Ave.,Chicago,60625.0,22742,20954,24275,23702,23039,25051,24576,24156,23213,23756,24048,21671,260163
Blackstone,4904 S. Lake Park Ave.,Chicago,60615.0,6012,5296,6948,6582,6980,7013,7787,7423,6576,6929,6932,6279,80757
North Austin,5724 W. North Ave.,Chicago,60639.0,610,472,549,523,547,497,644,647,564,638,395,498,6941
West Town,1625 W. Chicago Ave.,Chicago,60622.0,3631,3003,3596,3508,3787,3361,3725,4217,4401,4087,4280,3868,45464
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659.0,5277,4665,5837,5800,5365,6208,6639,6571,5725,5829,6116,5854,69886
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614.0,8658,7667,9869,9269,9727,10208,10190,10048,9936,9856,10238,8933,114599
West Englewood,1745 W. 63rd St.,Chicago,60636.0,355,309,238,318,231,332,310,310,345,504,390,254,3896
Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,1852,1587,1858,1791,1842,2328,2847,2538,2395,2579,2574,2129,26320
Hegewisch,3048 E. 130th St.,Chicago,60633.0,823,775,1004,960,948,1118,1117,1049,1080,1055,885,701,11515
Independence,4024 N. Elston Ave.,Chicago,60618.0,5069,4572,5989,5474,5372,6068,6791,6559,5961,6320,6091,5281,69547
Lozano,1805 S. Loomis St.,Chicago,60608.0,1823,1760,2210,1829,2177,2305,2255,2355,2314,2112,2109,1859,25108
South Shore,2505 E. 73rd St.,Chicago,60649.0,687,694,893,902,929,1153,1292,1038,975,941,975,927,32150
