branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Albany Park,5150 N. Kimball Ave.,Chicago,60625.0,35,0,7,40,3,0,0,139,11407,15251,12544,11058,50484
Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,791,604,522,611,587,729,743,742,776,751,831,822,8509
Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,6695,6682,7986,8059,6509,6417,7360,6664,7298,8327,6705,6515,85217
Austin,5615 W. Race Ave.,Chicago,60644.0,1472,1500,1601,2014,1794,2167,2280,2203,1918,2203,1965,2277,23394
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634.0,10144,9554,11474,11294,10182,11213,12229,11093,10969,11502,9968,9034,128656
Avalon,8148 S. Stony Island Ave. ,Chicago,60617.0,4377,3792,4388,4573,4817,5314,5397,4833,5149,5157,4774,4248,56819
Back of the Yards,2111 W. 47th St.,Chicago,60609.0,3935,3675,4319,4544,4047,4813,6459,4775,4430,4735,4294,3751,53777
Beverly,1962 W. 95th St.,Chicago,60643.0,5558,5070,6277,6222,5228,6032,6808,5660,5284,5799,4969,4853,67760
Bezazian,1226 W. Ainslie St.,Chicago,60640.0,9960,8737,10628,11312,11373,12069,12874,11918,11036,12133,10652,10502,133194
Blackstone,4904 S. Lake Park Ave.,Chicago,60615.0,7975,7738,10162,10083,9475,10510,11359,10331,9538,9305,8549,7971,112996
Brainerd,1350 W. 89th St.,Chicago,60620.0,1121,1062,1081,1073,1130,1262,1568,1482,1713,1347,1213,1325,15377
Brighton Park,4314 S. Archer Ave.,Chicago,60632.0,5278,5058,6012,6938,6105,5662,6942,5940,6136,6470,5469,4780,70790
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647.0,9275,9014,10776,10815,9922,11046,12088,11281,10769,11402,9881,9458,125727
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659.0,10963,9892,11657,11634,10992,12346,14063,12405,10664,10427,10026,9337,134406
Canaryville,642 W. 43rd St.,Chicago,60609.0,2437,2047,2456,2224,2056,2487,2690,2342,2849,2689,2394,2002,28673
Chicago Bee,3647 S. State St.,Chicago,60609.0,1517,1351,1464,1616,1476,1665,1604,1696,1696,2023,1963,1801,19872
Chicago Lawn,6120 S. Kedzie Ave. ,Chicago,60629.0,4405,4142,4261,5465,4214,4665,5626,4961,4290,4627,3682,4269,54607
Chinatown,2353 S. Wentworth Ave.,Chicago,60616.0,7959,8162,9069,9349,8791,9011,9949,9358,8056,8358,7713,8251,104026
Clearing,6423 W. 63rd Pl.,Chicago,60638.0,3698,3492,4475,4111,3635,4544,4565,4374,4225,4888,4171,3876,50054
Coleman,731 E. 63rd St.,Chicago,60637.0,2966,2820,2972,3318,3331,3176,3738,3658,3476,3793,3605,3354,40207
"Daley, Richard J. - Bridgeport",3400 S. Halsted St.,Chicago,60608.0,5851,5785,7164,7838,7378,7779,7810,7504,6902,7145,6716,6392,84264
"Daley, Richard M. - W Humboldt",733 N. Kedzie Ave.,Chicago,60612.0,3727,3605,4197,4395,4697,4426,5527,5089,4740,4986,3986,3158,52533
Douglass,3353 W. 13th St.,Chicago,60623.0,2014,1369,1780,2060,1682,1945,2127,2103,2177,2089,1870,1649,22865
