branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd,year
Albany Park,,,,9381,8156,10619,8660,7892,9795,10766,10505,8285,10098,9029,7982,111168,2018
Altgeld,,,,327,283,354,274,384,383,320,327,362,525,509,421,4469,2018
Archer Heights,,,,5459,5097,6391,5184,4415,4988,5555,5153,4951,5426,4837,4856,62312,2018
Austin,,,,0,884,1266,1059,972,1170,1310,1166,809,1162,923,848,11569,2018
Austin-Irving,,,,9333,7887,10465,8948,7946,9571,9891,9146,8366,9435,9118,8146,108252,2018
Avalon,,,,3644,3220,3766,3111,3464,3117,3556,3293,3259,3346,2837,2771,39384,2018
Back of the Yards,,,,2083,1833,2114,1942,1627,2311,2437,2659,2390,2917,2337,2057,26707,2018
Beverly,,,,5775,4455,4987,4032,3891,4763,5178,4690,4190,4879,4386,3759,54985,2018
Bezazian,,,,8316,7110,9124,8120,7991,8554,8882,9212,7334,8638,8304,8131,99716,2018
Blackstone,,,,8481,7163,9421,5956,7533,8696,9044,9110,7880,8719,8927,7585,98515,2018
Brainerd,,,,1192,1252,935,855,838,704,689,678,803,685,658,560,9849,2018
Brighton Park,,,,4457,3952,5169,4526,3913,4719,5222,5076,4658,5272,4693,3726,55383,2018
Bucktown-Wicker Park,,,,9772,8749,10654,9101,8544,9312,9832,9640,8209,9194,8876,8361,110244,2018
Budlong Woods,,,,8078,6727,8350,7251,6679,8308,8824,9000,7999,9291,8256,8434,97197,2018
Canaryville,,,,1904,1587,1851,1985,1831,2050,1984,2009,2067,2284,1820,1707,23079,2018
Chicago Bee,,,,486,22,0,0,0,7,0,0,0,0,97,578,1190,2018
Chicago Lawn,,,,3334,2677,3209,2962,3049,3051,3181,3044,2964,3514,2817,2735,36537,2018
Chinatown,,,,9237,8369,10884,9761,8604,10417,9932,10060,9519,9733,8735,9526,114777,2018
Clearing,,,,2860,2889,2983,2652,2373,2873,3186,3091,2867,3086,2453,2113,33426,2018
Coleman,,,,2943,2475,2494,2763,2691,2363,2403,2532,2219,2323,2243,2135,29584,2018
"Daley, Richard J. - Bridgeport",,,,5174,4098,5787,5391,4850,5530,6278,5894,3137,3522,5061,5104,59826,2018
"Daley, Richard M. - W Humboldt",,,,2545,2399,2932,2826,2410,2733,2903,2847,2913,3706,3093,2791,34098,2018
Douglass,,,,1497,1278,1263,1147,1068,1127,1395,937,642,94,8,0,10456,2018
Dunning,,,,4889,3832,5056,4465,3950,4496,4548,4498,4159,5343,4562,4136,53934,2018
Edgebrook,,,,8497,7712,8989,7689,6778,9417,9752,8641,7695,8105,8250,7498,99023,2018
Edgewater,,,,15168,13851,15887,14126,13348,15774,15342,15171,14033,14699,13988,13707,175094,2018
Gage Park,,,,1857,1270,1752,1528,1182,1104,1391,1166,1120,1420,1037,843,15670,2018
Galewood-Mont Clare,,,,1284,888,935,989,775,991,1226,1058,874,704,688,700,11112,2018
Garfield Ridge,,,,4883,4612,5926,5375,4458,5858,5933,5088,4906,5490,4782,3979,61290,2018
Greater Grand Crossing,,,,2291,1926,1966,1778,1614,1617,1929,1881,1499,1608,1269,1311,20689,2018
Hall,,,,1381,1269,1451,1645,1641,1525,1687,1608,1713,1438,1380,1168,17906,2018
Harold Washington Library Center,,,,56169,47118,55824,52077,48506,50642,55231,53971,48259,52802,47951,45763,614313,2018
Hegewisch,,,,1998,1704,1866,1813,1612,1665,1860,1682,1633,1998,1580,1436,20847,2018
Humboldt Park,,,,5371,4311,5393,4607,4730,4894,5306,5174,4486,5355,5078,4584,59289,2018
Independence,,,,0,0,0,0,0,0,0,0,0,4,0,0,4,2018
Jefferson Park,,,,7231,6546,7530,6821,6386,7240,7760,7903,6652,7347,7320,6973,85709,2018
Jeffery Manor,,,,786,637,675,730,699,757,762,912,677,822,670,730,8857,2018
Kelly,,,,1050,198,0,0,177,563,715,895,64,1028,903,896,6489,2018
King,,,,2701,2074,2387,2393,2059,2055,2197,2370,2394,2565,2354,2000,27549,2018
Legler Regional,,,,1129,1002,1044,1026,850,808,899,1251,1014,1246,998,961,12228,2018
Lincoln Belmont,,,,12936,11277,13970,12807,11747,14068,13236,13423,12079,13423,12157,11149,152272,2018
Lincoln Park,,,,9987,9044,10296,9577,8964,11285,11058,10232,8897,9725,9784,8359,117208,2018
Little Village,,,,4743,4364,4613,3957,3629,3983,3997,4539,4170,4499,3959,3043,49496,2018
Logan Square,,,,11245,9685,12085,10871,9311,11404,12240,12513,11525,12206,10385,10196,133666,2018
Lozano,,,,4460,3746,4168,4074,3284,3689,3553,3432,3471,3774,3270,3776,44697,2018
Manning,,,,2325,2011,2313,2407,1997,2073,2163,1978,2013,0,1570,1899,22749,2018
Mayfair,,,,4414,4217,5107,4112,4004,4963,5122,4874,3983,4350,4202,3714,53062,2018
McKinley Park,,,,5669,5209,6201,5535,5605,6267,6265,5670,5423,6359,5055,4424,67682,2018
Merlo,,,,7743,6931,8055,7932,7215,8751,8697,8712,7844,8654,7962,7487,95983,2018
Mount Greenwood,,,,5475,4338,5848,5019,4886,6448,6064,6201,4684,5168,5152,4048,63331,2018
Near North,,,,9235,7890,9432,8700,8907,9640,9651,9496,8384,9075,8365,7774,106549,2018
North Austin,,,,0,0,0,0,0,15,977,1231,1096,1100,1083,1016,6518,2018
North Pulaski,,,,3194,2316,3011,2514,2185,2796,3161,3273,2577,3233,2526,2158,32944,2018
Northtown,,,,7290,5835,7517,7422,7092,7705,8649,7988,7394,8480,6940,2150,84462,2018
Oriole Park,,,,6186,5378,6139,6106,5655,6151,6519,5851,5189,5793,5572,5113,69652,2018
Portage-Cragin,,,,6900,6231,7601,6321,5870,7176,7259,6909,5734,7016,6763,6478,80258,2018
Pullman,,,,1201,1044,1106,1027,886,931,1114,1085,939,1181,1007,1087,12608,2018
Roden,,,,5859,5169,6590,5797,5069,7032,6873,6729,5664,6811,2787,5365,69745,2018
Rogers Park,,,,10567,8747,11134,10376,9719,10863,11538,11338,9616,10313,9781,9765,123757,2018
Roosevelt,,,,4558,4116,5142,4987,4688,5332,5502,5208,4499,4865,4275,195,53367,2018
Scottsdale,,,,2295,2328,2536,2408,1843,2204,2378,2119,2057,2186,1997,1852,26203,2018
Sherman Park,,,,813,706,716,579,661,655,780,800,814,755,658,554,8491,2018
South Chicago,,,,1638,1374,1661,1802,1782,1843,2156,1985,1783,1982,1580,1720,21306,2018
South Shore,,,,2464,2579,2927,2680,2541,2985,3120,3119,3042,2733,2373,2161,32724,2018
Sulzer Regional,,,,33203,26992,33637,32271,29091,34049,33967,34156,30853,32463,30614,28237,379533,2018
Thurgood Marshall,,,,0,1189,1713,1765,1745,1866,2072,2160,1903,2257,1866,1792,20328,2018
Toman,,,,5356,4619,5631,5200,4487,4833,5062,4775,4906,5514,4832,4235,59450,2018
Uptown,,,,6501,6153,7267,7031,6581,7232,6649,7911,7099,7312,6282,3552,79570,2018
Vodak-East Side,,,,3046,2815,2941,2914,2614,2852,3287,3426,2672,3421,3118,2258,35364,2018
Walker,,,,1721,1567,2038,1870,1648,1775,1700,1508,1212,1600,1672,1426,19737,2018
Water Works,,,,4320,3467,4331,4268,4235,4482,4272,4437,4248,4451,4195,3539,50245,2018
West Belmont,,,,6675,6064,7096,6196,5263,5866,6695,6007,5921,7037,1710,0,64530,2018
West Chicago Avenue,,,,1118,942,1067,1039,804,925,1211,834,1042,1143,952,851,11928,2018
West Englewood,,,,1386,1299,1449,1427,1127,1042,1355,1361,1307,1359,1424,1179,15715,2018
West Lawn,,,,3602,3198,3933,3415,2808,3059,3712,3563,2973,3685,3090,2993,40031,2018
West Pullman,,,,2184,1762,1855,2054,1671,1676,1775,1601,1575,1858,1614,1176,20801,2018
West Town,,,,5613,4866,6123,5634,5109,5598,5598,6018,5228,5955,5057,255,61054,2018
"Whitney M. Young, Jr.",,,,0,0,0,0,0,0,0,0,0,0,4,0,4,2018
