branch	address	city	zip code	ytd	year	month	circulation	date
Albany Park	5150 N. Kimball Ave.	Chicago	60625.0	120059	2011	january	8427	2011-01-01
Altgeld	13281 S. Corliss Ave.	Chicago	60827.0	9611	2011	january	1258	2011-01-01
Archer Heights	5055 S. Archer Ave.	Chicago	60632.0	101951	2011	january	8104	2011-01-01
Austin	5615 W. Race Ave.	Chicago	60644.0	25527	2011	january	1755	2011-01-01
Austin-Irving	6100 W. Irving Park Rd.	Chicago	60634.0	165634	2011	january	12593	2011-01-01
Avalon	8148 S. Stony Island Ave. 	Chicago	60617.0	71884	2011	january	5664	2011-01-01
Back of the Yards	4650 S. Damen Ave.	Chicago	60609.0	40470	2011	january	5485	2011-01-01
Beverly	1962 W. 95th St.	Chicago	60643.0	106619	2011	january	8049	2011-01-01
Bezazian	1226 W. Ainslie St.	Chicago	60640.0	161803	2011	january	8875	2011-01-01
Blackstone	4904 S. Lake Park Ave.	Chicago	60615.0	128882	2011	january	9351	2011-01-01
Brainerd	1350 W. 89th St.	Chicago	60620.0	16657	2011	january	1140	2011-01-01
Brighton Park	4314 S. Archer Ave.	Chicago	60632.0	99091	2011	january	7416	2011-01-01
Bucktown-Wicker Park	1701 N. Milwaukee Ave.	Chicago	60647.0	173396	2011	january	13113	2011-01-01
Budlong Woods	5630 N. Lincoln Ave.	Chicago	60659.0	160271	2011	january	12841	2011-01-01
Canaryville	642 W. 43rd St.	Chicago	60609.0	35681	2011	january	2665	2011-01-01
Chicago Bee	3647 S. State St.	Chicago	60609.0	16129	2011	january	1175	2011-01-01
Chicago Lawn	6120 S. Kedzie Ave. 	Chicago	60629.0	65939	2011	january	4578	2011-01-01
Chinatown	2353 S. Wentworth Ave.	Chicago	60616.0	158449	2011	january	14027	2011-01-01
Clearing	6423 W. 63rd Pl.	Chicago	60638.0	77943	2011	january	6718	2011-01-01
Coleman	731 E. 63rd St.	Chicago	60637.0	33980	2011	january	2306	2011-01-01
Daley, Richard J. - Bridgeport	3400 S. Halsted St.	Chicago	60608.0	99302	2011	january	6995	2011-01-01
Daley, Richard M. - W Humboldt	733 N. Kedzie Ave.	Chicago	60612.0	38311	2011	january	0	2011-01-01
Douglass	3353 W. 13th St.	Chicago	60623.0	24191	2011	january	1587	2011-01-01
Dunning	7455 W. Cornelia Ave.	Chicago	60634.0	60892	2011	january	0	2011-01-01
Edgebrook	5331 W. Devon Ave.	Chicago	60646.0	129288	2011	january	10231	2011-01-01
Edgewater	1210 W. Elmdale Ave.	Chicago	60660.0	76930	2011	january	11573	2011-01-01
Gage Park	2807 W. 55th St.	Chicago	60632.0	33978	2011	january	2109	2011-01-01
Galewood-Mont Clare	6871 W. Belden Ave.	Chicago	60707.0	9218	2011	january	519	2011-01-01
Garfield Ridge	6348 S. Archer Ave.	Chicago	60638.0	84481	2011	january	6138	2011-01-01
Greater Grand Crossing	1000 E. 73rd St.	Chicago	60619.0	29922	2011	january	0	2011-01-01
Hall	4801 S. Michigan Ave.	Chicago	60615.0	33396	2011	january	2416	2011-01-01
Harold Washington Library Center	400 S. State St.	Chicago	60605.0	966720	2011	january	79210	2011-01-01
Hegewisch	3048 E. 130th St.	Chicago	60633.0	41436	2011	january	3221	2011-01-01
Humboldt Park	1605 N. Troy St.	Chicago	60647.0	84825	2011	january	6251	2011-01-01
Independence	3548 W. Irving Park Rd.	Chicago	60618.0	125886	2011	january	8860	2011-01-01
Jefferson Park	5363 W. Lawrence Ave.	Chicago	60630.0	123076	2011	january	8819	2011-01-01
Jeffery Manor	2401 E. 100th St.	Chicago	60617.0	18319	2011	january	1223	2011-01-01
Kelly	6151 S. Normal Boulevard	Chicago	60621.0	17348	2011	january	963	2011-01-01
King	3436 S. King Dr.	Chicago	60616.0	36280	2011	january	1903	2011-01-01
Legler Regional	115 S. Pulaski Rd.	Chicago	60624.0	18487	2011	january	1344	2011-01-01
Lincoln Belmont	1659 W. Melrose St.	Chicago	60657.0	194268	2011	january	14395	2011-01-01
Lincoln Park	1150 W. Fullerton Ave.	Chicago	60614.0	140877	2011	january	11018	2011-01-01
Little Village	2311 S. Kedzie Ave.	Chicago	60623.0	42276	2011	january	0	2011-01-01
Logan Square	3030 W. Fullerton Ave.	Chicago	60647.0	155741	2011	january	11179	2011-01-01
