,branch,circulation
0,Albany Park,1024714
1,Altgeld,68358
2,Archer Heights,803014
3,Austin,200107
4,Austin-Irving,1359700
5,Avalon,521328
6,Back of the Yards,319410
7,Beverly,741816
8,Bezazian,1357922
9,Blackstone,1229306
10,Brainerd,130953
11,Brighton Park,663572
12,Bucktown-Wicker Park,1456669
13,Budlong Woods,1310179
14,Canaryville,266802
15,Chicago Bee,151966
16,Chicago Lawn,483963
17,Chinatown,1254240
18,Clearing,504609
19,Coleman,363101
20,"Daley, Richard J. - Bridgeport",803229
21,"Daley, Richard M. - W Humboldt",449132
22,Douglass,181105
23,Dunning,706114
24,Edgebrook,1198611
25,Edgewater,1668693
26,Gage Park,229768
27,Galewood-Mont Clare,100660
28,Garfield Ridge,712455
29,Greater Grand Crossing,271075
30,Hall,222347
31,Harold Washington Library Center,7498041
32,Hegewisch,310291
33,Humboldt Park,684816
34,Independence,813331
35,Jefferson Park,971132
36,Jeffery Manor,128846
37,Kelly,133055
38,King,333261
39,Legler Regional,154630
40,Lincoln Belmont,1850964
41,Lincoln Park,1441173
42,Little Italy,192860
43,Little Village,719817
44,Logan Square,1539816
45,Lozano,635644
46,Manning,305853
47,Mayfair,639148
48,McKinley Park,818851
49,Merlo,1092935
50,Mount Greenwood,780002
51,Near North,1313103
52,North Austin,211355
53,North Pulaski,453873
54,Northtown,1345624
55,Oriole Park,988152
56,Portage-Cragin,934599
57,Pullman,182173
58,Roden,816320
59,Rogers Park,1520681
60,Roosevelt,564923
61,Scottsdale,404335
62,Sherman Park,126517
63,South Chicago,345690
64,South Shore,354679
65,Sulzer Regional,5110245
66,Thurgood Marshall,314823
67,Toman,845699
68,Uptown,1006576
69,Vodak-East Side,512780
70,Walker,305136
71,Water Works,472069
72,West Belmont,936633
73,West Chicago Avenue,169102
74,West Englewood,190400
75,West Lawn,633908
76,West Loop,194310
77,West Pullman,295327
78,West Town,922876
79,"Whitney M. Young, Jr.",259680
80,Woodson Regional,823793
81,Wrightwood-Ashburn,302285
