year,branch,ytd
ta/2,Sulzer Regional,301340
ta/2,Harold Washington Library Center,273406
ta/2,Lincoln Park,142413
ta/2,Edgewater,124239
ta/2,Logan Square,116319
ta/2,Merlo,106736
ta/2,Lincoln Belmont,104173
ta/2,Northtown,101188
ta/2,Bucktown-Wicker Park,98867
ta/2,Blackstone,81017
ta/2,Edgebrook,79259
ta/2,Rogers Park,77588
ta/2,Bezazian,76814
ta/2,Independence,73846
ta/2,Budlong Woods,72049
ta/2,Albany Park,64486
ta/2,Austin-Irving,63482
ta/2,Oriole Park,60991
ta/2,Jefferson Park,59621
ta/2,Chinatown,58539
ta/2,Roden,55614
ta/2,Uptown,54707
ta/2,West Town,53459
ta/2,West Loop,52688
ta/2,Near North,46760
ta/2,Mount Greenwood,46056
ta/2,Little Italy,45000
ta/2,Humboldt Park,41675
ta/2,Portage-Cragin,41531
ta/2,Dunning,40511
ta/2,Water Works,38310
ta/2,McKinley Park,37881
ta/2,Garfield Ridge,36368
ta/2,West Belmont,35914
ta/2,Mayfair,30562
ta/2,Archer Heights,27343
ta/2,Beverly,26961
ta/2,"Daley, Richard J. - Bridgeport",25307
ta/2,Lozano,25002
ta/2,Woodson Regional,25002
ta/2,Toman,23735
ta/2,Clearing,21980
ta/2,West Lawn,20225
ta/2,Vodak-East Side,19893
ta/2,Brighton Park,17940
ta/2,Little Village,17465
ta/2,Chicago Lawn,16433
ta/2,Walker,16002
ta/2,Avalon,15567
ta/2,Scottsdale,15151
ta/2,"Daley, Richard M. - W Humboldt",14820
ta/2,North Pulaski,12675
ta/2,Back of the Yards,12242
ta/2,King,11940
ta/2,Manning,11869
ta/2,Coleman,11059
ta/2,South Shore,10647
ta/2,Hegewisch,9734
ta/2,Chicago Bee,9095
ta/2,Canaryville,8998
ta/2,Thurgood Marshall,8920
ta/2,Wrightwood-Ashburn,8850
ta/2,West Pullman,8454
ta/2,South Chicago,8324
ta/2,"Whitney M. Young, Jr.",8041
ta/2,Austin,7589
ta/2,Hall,7510
ta/2,Gage Park,7493
ta/2,North Austin,6732
ta/2,Legler Regional,6453
ta/2,Greater Grand Crossing,6186
ta/2,Jeffery Manor,5335
ta/2,Kelly,5141
ta/2,West Chicago Avenue,4609
ta/2,West Englewood,4576
ta/2,Douglass,4250
ta/2,Pullman,4118
ta/2,Brainerd,3899
ta/2,Sherman Park,2857
ta/2,Altgeld,2641
ta/2,Galewood-Mont Clare,0
